symbol,interval,train_roi,val_roi,val_halted,n_valid_combos,n_train_candles,n_val_candles,sweep,steps,order_size_pct,counter_multiplier,ma_period,atr_period,atr_multiplier
LTC,5m,10.2941,2.5653,False,16800,13598,3400,0.05,20,0.5,10,,,2.0
SEI,5m,0.0899,1.2769,False,11988,13596,3400,0.05,32,0.05,2,100,,2.0
AAVE,15m,25.7409,-1.2279,False,16720,4537,1135,0.25,32,0.5,12,,,2.0
TON,5m,3.8448,0.0,False,16800,13597,3400,0.2,12,0.1,8,,,2.0
AERO,15m,6.5397,6.5576,False,16800,4537,1135,0.05,8,0.5,2,,,2.0
ADA,15m,30.9108,11.0004,False,16720,4537,1135,0.25,48,0.5,12,,,2.0
PYTH,5m,-0.3479,0.0,False,16800,13596,3400,0.25,4,0.05,2,,,2.0
RENDER,5m,7.6589,1.7006,False,16800,13598,3400,0.1,48,0.25,4,,,2.0
PAXG,5m,5.8887,0.0,False,16800,13597,3400,0.05,4,0.25,16,,,2.0
SNX,5m,6.0632,0.8761,False,16800,13597,3400,0.1,12,0.5,4,,,2.0
BONK,15m,40.5898,6.3025,False,16800,4537,1135,0.15,20,0.2,2,,,2.0
AVAX,15m,29.1526,5.0988,False,16720,4537,1135,0.1,12,0.5,16,,,2.0
ARB,15m,0.0,0.0,False,16800,4537,1135,0.05,4,0.05,2,,,2.0
SOL,5m,13.1202,5.8903,False,16800,13597,3400,0.1,12,0.5,4,,,2.0
AVNT,15m,11.1258,3.1412,False,9968,4537,1135,0.25,4,0.25,4,,,2.0
FLOKI,15m,11.5692,7.1247,False,16800,4537,1135,0.05,32,0.1,2,,,2.0
BCH,15m,9.0034,-4.4193,False,16800,4537,1135,0.05,4,0.25,16,,,2.0
CRV,15m,30.7345,2.4463,False,16720,4537,1135,0.2,20,0.2,12,,,2.0
DOGE,15m,36.6927,1.2625,False,16720,4537,1135,0.1,8,0.5,10,,,2.0
BNB,15m,13.8817,0.8295,False,16720,4537,1135,0.15,4,0.5,2,,,2.0
OP,15m,-3.1713,0.6081,False,2100,4537,1135,0.05,20,0.05,2,100,,2.0
BTC,15m,14.6581,0.0,False,16720,4537,1135,0.25,12,0.5,4,,,2.0
EIGEN,15m,33.5069,-1.998,False,16720,4537,1135,0.25,12,0.2,16,,,2.0
ENA,15m,11.5875,6.8707,False,15132,4537,1135,0.25,8,0.2,4,,,2.0
