sweep,steps,reset_interval,return_pct,num_trades,final_value,score,halted,symbol,interval
0.4,2,,80.59725585937501,4,180597.255859375,20.149313964843753,False,ETH,1h
0.5,4,336.0,13.363340843200683,51,113363.34084320068,0.26202629104315067,True,BCH,1h
0.5,8,,9.831184329986572,14,109831.18432998657,0.702227452141898,False,AAVE,1h
0.05,2,24.0,3.69492919921875,5,103694.92919921875,0.73898583984375,False,PAXG,1h
0.3,2,,3.2062379150390625,4,103206.23791503906,0.8015594787597656,False,SOL,1h
0.25,2,,2.937349853515625,2,102937.34985351562,1.4686749267578125,False,BNB,1h
0.1,16,72.0,2.468684551406273,1197,102468.68455140627,0.002062393108944255,False,PNUT,1h
0.4,2,,2.4297837524414065,4,102429.7837524414,0.6074459381103516,False,LTC,1h
0.2,16,,1.0885951108150185,32,101088.59511081502,0.03401859721296933,False,VIRTUAL,1h
0.1,16,,0.9853890071958302,32,100985.38900719583,0.030793406474869695,False,XRP,1h
0.05,12,72.0,0.699576575189858,432,100699.57657518986,0.0016193902203468936,False,XPL,1h
0.4,2,,0.4223407287597656,4,100422.34072875977,0.1055851821899414,False,LINK,1h
0.15,2,,0.3028693084716797,4,100302.86930847168,0.07571732711791992,False,ETC,1h
0.1,2,,0.2897794418334961,4,100289.7794418335,0.07244486045837402,False,AVAX,1h
0.2,8,168.0,0.2146537113145896,127,100214.65371131459,0.001690186703264485,False,AVNT,1h
0.3,2,,0.15337034225463866,4,100153.37034225464,0.038342585563659666,False,DOT,1h
0.5,2,,0.08175389528274536,4,100081.75389528275,0.02043847382068634,False,TON,1h
0.25,2,,0.06653763055801391,4,100066.53763055801,0.01663440763950348,False,EIGEN,1h
0.2,2,,0.04213685703277588,4,100042.13685703278,0.01053421425819397,False,WIF,1h
0.15,16,,0.03559603316895664,32,100035.59603316896,0.001112376036529895,False,XLM,1h
0.4,2,,0.03035580253601074,4,100030.35580253601,0.007588950634002685,False,XTZ,1h
0.05,2,,0.026146382331848145,4,100026.14638233185,0.006536595582962036,False,RENDER,1h
0.5,2,,0.01872544527053833,4,100018.72544527054,0.004681361317634583,False,CRV,1h
0.4,2,,0.014039417266845702,4,100014.03941726685,0.0035098543167114255,False,ADA,1h
0.5,2,168.0,0.013606860160827636,79,100013.60686016083,0.00017223873621300805,False,SNX,1h
0.2,2,,0.013191753387451172,4,100013.19175338745,0.003297938346862793,False,ENA,1h
0.25,2,,0.012109453976154327,4,100012.10945397615,0.0030273634940385817,False,ONDO,1h
0.5,16,168.0,0.011335009068687214,256,100011.33500906869,4.427737917455943e-05,False,SKY,1h
0.05,2,,0.007632010459899902,4,100007.6320104599,0.0019080026149749755,False,LDO,1h
0.5,2,,0.0072702312469482425,4,100007.27023124695,0.0018175578117370606,False,SYRUP,1h
0.4,2,,0.004620830297470092,4,100004.62083029747,0.001155207574367523,False,DOGE,1h
0.5,2,,0.0031820281594991686,4,100003.1820281595,0.0007955070398747921,False,HBAR,1h
0.1,16,336.0,0.0024619310292764564,394,100002.46193102928,6.248555911869178e-06,False,XCN,1h
0.3,2,,9.589050617069006e-05,4,100000.09589050617,2.3972626542672514e-05,False,AERO,1h
0.4,2,,4.7659892588853834e-05,4,100000.04765989259,1.1914973147213459e-05,False,TRUMP,1h
0.5,2,,4.5597038697451355e-05,4,100000.0455970387,1.1399259674362839e-05,False,ARB,1h
0.4,2,,4.738141782581806e-06,4,100000.00473814178,1.1845354456454516e-06,False,FLOKI,1h
0.5,2,,6.878201384097338e-07,4,100000.00068782014,1.7195503460243344e-07,False,BONK,1h
0.15,2,,2.5072650169022384e-07,4,100000.0002507265,6.268162542255596e-08,False,SHIB,1h
0.05,2,,0.0,0,100000.0,0.0,False,BTC,1h
0.05,2,,0.0,0,100000.0,0.0,False,USDC,1h
0.5,2,168.0,-0.0019959156699624146,72,99998.00408433004,-2.7721050971700203e-05,False,SEI,1h
0.5,6,168.0,-0.0023362212289066518,259,99997.6637787711,-9.020159184967767e-06,False,SKR,1h
0.5,2,168.0,-0.006047557368539856,93,99993.95244263146,-6.502749858645007e-05,False,W,1h
0.3,4,72.0,-0.017838960851921003,306,99982.16103914808,-5.829725768601635e-05,False,PYTH,1h
0.05,10,72.0,-0.19525818219028587,1112,99804.74181780971,-0.00017559189045889017,False,OP,1h
