return_pct,final_value,cash,halted,trades,reset,order_pct,ETH_sweep,ETH_steps,BNB_sweep,BNB_steps,SOL_sweep,SOL_steps
78.19648491743695,53458.945475231085,17302.10789619212,False,287,24.0,0.15,0.1,4,0.06,12,0.2,4
78.19648491743695,53458.945475231085,17302.10789619212,False,287,,0.15,0.1,4,0.06,12,0.2,4
78.19648491743695,53458.945475231085,17302.10789619212,False,287,168.0,0.15,0.1,4,0.06,12,0.2,4
78.19648491743695,53458.945475231085,17302.10789619212,False,287,48.0,0.15,0.1,4,0.06,12,0.2,4
74.91642486369989,52474.92745910997,18986.463777706587,False,199,24.0,0.15,0.1,4,0.1,12,0.2,4
74.91642486369989,52474.92745910997,18986.463777706587,False,199,48.0,0.15,0.1,4,0.1,12,0.2,4
74.91642486369989,52474.92745910997,18986.463777706587,False,199,,0.15,0.1,4,0.1,12,0.2,4
74.91642486369989,52474.92745910997,18986.463777706587,False,199,168.0,0.15,0.1,4,0.1,12,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,24.0,0.15,0.1,4,0.15,12,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,24.0,0.15,0.1,4,0.1,8,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,168.0,0.15,0.1,4,0.1,8,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,,0.15,0.1,4,0.1,8,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,,0.15,0.1,4,0.15,12,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,168.0,0.15,0.1,4,0.15,12,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,48.0,0.15,0.1,4,0.1,8,0.2,4
74.16735327530245,52250.205982590734,18858.740187796488,False,161,48.0,0.15,0.1,4,0.15,12,0.2,4
73.0186373224952,51905.59119674856,16055.115421930404,False,203,48.0,0.15,0.1,4,0.06,8,0.2,4
73.0186373224952,51905.59119674856,16055.115421930404,False,203,168.0,0.15,0.1,4,0.06,8,0.2,4
73.0186373224952,51905.59119674856,16055.115421930404,False,203,,0.15,0.1,4,0.06,8,0.2,4
73.0186373224952,51905.59119674856,16055.115421930404,False,203,24.0,0.15,0.1,4,0.06,8,0.2,4
71.38164155832129,51414.492467496384,18503.29273567747,False,139,24.0,0.15,0.1,4,0.2,12,0.2,4
71.38164155832129,51414.492467496384,18503.29273567747,False,139,48.0,0.15,0.1,4,0.2,12,0.2,4
71.38164155832129,51414.492467496384,18503.29273567747,False,139,,0.15,0.1,4,0.2,12,0.2,4
71.38164155832129,51414.492467496384,18503.29273567747,False,139,168.0,0.15,0.1,4,0.2,12,0.2,4
70.16851212596981,51050.553637790945,26223.8296923334,False,282,168.0,0.15,0.1,8,0.06,12,0.2,4
70.16851212596981,51050.553637790945,26223.8296923334,False,282,48.0,0.15,0.1,8,0.06,12,0.2,4
70.16851212596981,51050.553637790945,26223.8296923334,False,282,24.0,0.15,0.1,8,0.06,12,0.2,4
70.16851212596981,51050.553637790945,26223.8296923334,False,282,,0.15,0.1,8,0.06,12,0.2,4
69.35309068723922,50805.927206171764,16290.92803070106,False,244,168.0,0.15,0.15,8,0.06,12,0.2,4
69.35309068723922,50805.927206171764,16290.92803070106,False,244,48.0,0.15,0.15,8,0.06,12,0.2,4
69.35309068723922,50805.927206171764,16290.92803070106,False,244,,0.15,0.15,8,0.06,12,0.2,4
69.35309068723922,50805.927206171764,16290.92803070106,False,244,24.0,0.15,0.15,8,0.06,12,0.2,4
69.14451145347003,50743.35343604101,18275.355703317397,False,139,168.0,0.15,0.1,4,0.06,4,0.2,4
69.14451145347003,50743.35343604101,18275.355703317397,False,139,,0.15,0.1,4,0.06,4,0.2,4
69.14451145347003,50743.35343604101,18275.355703317397,False,139,48.0,0.15,0.1,4,0.06,4,0.2,4
69.14451145347003,50743.35343604101,18275.355703317397,False,139,24.0,0.15,0.1,4,0.06,4,0.2,4
68.91037493743029,50673.11248122909,26553.371084632527,False,286,48.0,0.1,0.2,8,0.1,12,0.2,4
68.91037493743029,50673.11248122909,26553.371084632527,False,286,,0.1,0.2,8,0.1,12,0.2,4
68.91037493743029,50673.11248122909,26553.371084632527,False,286,24.0,0.1,0.2,8,0.1,12,0.2,4
68.91037493743029,50673.11248122909,26553.371084632527,False,286,168.0,0.1,0.2,8,0.1,12,0.2,4
68.5808977185065,50574.26931555195,29258.648223359876,False,323,48.0,0.1,0.1,4,0.06,8,0.2,4
68.5808977185065,50574.26931555195,29258.648223359876,False,323,168.0,0.1,0.1,4,0.06,8,0.2,4
68.5808977185065,50574.26931555195,29258.648223359876,False,323,24.0,0.1,0.1,4,0.06,8,0.2,4
68.5808977185065,50574.26931555195,29258.648223359876,False,323,,0.1,0.1,4,0.06,8,0.2,4
68.41005322985703,50523.01596895711,24628.541448135104,False,302,24.0,0.1,0.2,8,0.06,8,0.2,4
