window,steps,std_multiplier,reset_interval,return_pct,num_trades,final_value,score,halted,symbol
336,2,0.5,720.0,26.393744709159538,62,126393.74470915954,26.393744709159538,False,BNB
168,6,2.0,720.0,18.39315801032989,58,118393.15801032989,18.39315801032989,False,AAVE
720,4,1.5,720.0,11.127180229763923,29,111127.18022976392,11.127180229763923,False,BCH
336,6,0.5,168.0,6.066622396634586,243,106066.62239663459,6.066622396634586,False,LTC
336,2,1.0,24.0,5.432138685531958,8,105432.13868553196,5.432138685531958,False,PAXG
336,2,2.0,168.0,2.497838933711304,8,102497.8389337113,2.497838933711304,False,ETH
336,6,1.5,720.0,1.979988503988745,71,101979.98850398874,1.979988503988745,False,SOL
168,6,1.0,720.0,0.7286354383414291,129,100728.63543834143,0.7286354383414291,False,VIRTUAL
720,6,1.5,24.0,0.5699839324256026,48,100569.9839324256,0.5699839324256026,False,LINK
720,6,1.5,720.0,0.3050327352788154,41,100305.03273527882,0.3050327352788154,False,TON
168,6,0.5,24.0,0.22117032421627666,65,100221.17032421628,0.22117032421627666,False,XPL
720,6,0.5,720.0,0.19350957427702087,120,100193.50957427702,0.19350957427702087,False,XRP
720,2,2.0,720.0,0.17681826454712427,22,100176.81826454712,0.17681826454712427,False,AVAX
720,6,0.5,168.0,0.11973435094526212,261,100119.73435094526,0.11973435094526212,False,HBAR
168,4,0.5,24.0,0.11179099223144295,39,100111.79099223144,0.11179099223144295,False,EIGEN
168,6,1.0,168.0,0.09371063639658678,70,100093.71063639659,0.09371063639658678,False,DOT
168,6,0.5,24.0,0.08718764041905525,80,100087.18764041906,0.08718764041905525,False,ONDO
720,2,2.0,168.0,0.08401000534609193,12,100084.01000534609,0.08401000534609193,False,ETC
720,3,1.5,24.0,0.0718965968425473,16,100071.89659684255,0.0718965968425473,False,WIF
48,6,0.5,168.0,0.050308484334876995,318,100050.30848433488,0.050308484334876995,False,SYRUP
336,6,1.0,24.0,0.04751536016550381,41,100047.5153601655,0.04751536016550381,False,OP
168,6,2.0,720.0,0.03712958374303708,62,100037.12958374304,0.03712958374303708,False,CRV
336,6,1.5,720.0,0.026602796780745848,65,100026.60279678075,0.026602796780745848,False,ADA
48,3,1.5,168.0,0.015946954732804445,45,100015.9469547328,0.015946954732804445,False,SNX
720,2,2.0,168.0,0.014433264765350033,10,100014.43326476535,0.014433264765350033,False,LDO
720,3,0.5,24.0,0.006534487888668081,477,100006.53448788867,0.006534487888668081,False,SKY
336,6,0.5,168.0,0.003837026444045478,162,100003.83702644405,0.003837026444045478,False,TRUMP
720,6,1.5,720.0,0.0025831372340326198,41,100002.58313723403,0.0025831372340326198,False,SEI
48,2,2.0,168.0,0.0024634326350060293,5,100002.463432635,0.0024634326350060293,False,AVNT
720,2,2.0,168.0,0.0016597443981881954,8,100001.65974439819,0.0016597443981881954,False,DOGE
168,2,2.0,168.0,0.0009837704756064341,12,100000.9837704756,0.0009837704756064341,False,W
168,6,0.5,24.0,0.0007926104319049045,67,100000.7926104319,0.0007926104319049045,False,AERO
720,2,2.0,168.0,0.0005784921978920465,10,100000.57849219789,0.0005784921978920465,False,XLM
48,6,0.5,24.0,0.000315592034967267,132,100000.31559203497,0.000315592034967267,False,USDC
336,6,0.5,720.0,0.0001599540400202386,55,100000.15995404002,0.0001599540400202386,False,XCN
720,6,2.0,720.0,2.375264927104581e-05,20,100000.02375264927,2.375264927104581e-05,False,ARB
336,6,1.0,24.0,1.2444900843547656e-05,48,100000.01244490084,1.2444900843547656e-05,False,FLOKI
336,6,1.0,24.0,2.3111279733711854e-06,40,100000.00231112797,2.3111279733711854e-06,False,BONK
168,4,2.0,24.0,1.1073473433498293e-07,21,100000.00011073473,1.1073473433498293e-07,False,SHIB
48,2,0.5,,0.0,0,100000.0,0.0,False,BTC
48,2,0.5,,0.0,0,100000.0,0.0,False,PNUT
48,2,0.5,,0.0,0,100000.0,0.0,False,ENA
48,2,0.5,,0.0,0,100000.0,0.0,False,PYTH
48,2,0.5,,0.0,0,100000.0,0.0,False,RENDER
48,2,0.5,,0.0,0,100000.0,0.0,False,SKR
48,2,0.5,,0.0,0,100000.0,0.0,False,XTZ
