return_pct,final_value,cash,profit,halted,trades,sweep,steps,reset,order_pct,counter_m,atr_mult
3.867245520641532,103867.24552064153,18875.0,62500.0,False,14,0.2,12,,0.15,5.0,0.0
3.867245520641532,103867.24552064153,18875.0,62500.0,False,14,0.2,12,,0.15,5.0,3.0
3.867245520641532,103867.24552064153,18875.0,62500.0,False,14,0.2,12,,0.15,5.0,2.0
3.791143733076853,103791.14373307685,17734.375,46406.25,False,12,0.15,8,,0.15,5.0,2.0
3.791143733076853,103791.14373307685,17734.375,46406.25,False,12,0.15,8,,0.15,5.0,0.0
3.791143733076853,103791.14373307685,17734.375,46406.25,False,12,0.15,8,,0.15,5.0,3.0
3.5103892562870174,103510.38925628702,35150.0,79000.0,False,15,0.2,12,,0.15,4.0,2.0
3.5103892562870174,103510.38925628702,35150.0,79000.0,False,15,0.2,12,,0.15,4.0,3.0
3.5103892562870174,103510.38925628702,35150.0,79000.0,False,15,0.2,12,,0.15,4.0,0.0
3.5012657883544165,103501.26578835442,34450.0,63375.0,False,13,0.15,8,,0.15,4.0,3.0
3.5012657883544165,103501.26578835442,34450.0,63375.0,False,13,0.15,8,,0.15,4.0,0.0
3.5012657883544165,103501.26578835442,34450.0,63375.0,False,13,0.15,8,,0.15,4.0,2.0
3.1803385072423405,103180.33850724234,42250.0,30000.0,False,8,0.2,8,,0.15,5.0,0.0
3.1803385072423405,103180.33850724234,42250.0,30000.0,False,8,0.2,8,,0.15,5.0,3.0
3.1803385072423405,103180.33850724234,42250.0,30000.0,False,8,0.1,4,,0.15,5.0,2.0
3.1803385072423405,103180.33850724234,42250.0,30000.0,False,8,0.1,4,,0.15,5.0,3.0
3.1803385072423405,103180.33850724234,42250.0,30000.0,False,8,0.1,4,,0.15,5.0,0.0
3.1803385072423405,103180.33850724234,42250.0,30000.0,False,8,0.2,8,,0.15,5.0,2.0
2.8269076720551967,102826.9076720552,49492.1875,78374.99999999999,False,14,0.15,8,,0.15,3.0,0.0
2.8269076720551967,102826.9076720552,49492.1875,78374.99999999999,False,14,0.15,8,,0.15,3.0,2.0
2.8269076720551967,102826.9076720552,49492.1875,78374.99999999999,False,14,0.15,8,,0.15,3.0,3.0
2.8067653817705285,102806.76538177053,49937.5,93750.0,False,16,0.2,12,,0.15,3.0,0.0
2.8067653817705285,102806.76538177053,49937.5,93750.0,False,16,0.2,12,,0.15,3.0,3.0
2.8067653817705285,102806.76538177053,49937.5,93750.0,False,16,0.2,12,,0.15,3.0,2.0
2.566823211262745,102566.82321126274,44500.00000000001,41666.666666666664,False,14,0.2,12,,0.1,5.0,2.0
2.566823211262745,102566.82321126274,44500.00000000001,41666.666666666664,False,14,0.2,12,,0.1,5.0,0.0
2.566823211262745,102566.82321126274,44500.00000000001,41666.666666666664,False,14,0.2,12,,0.1,5.0,3.0
2.5656518284018386,102565.65182840184,43525.0,31500.0,False,8,0.2,8,,0.15,4.0,2.0
2.5656518284018386,102565.65182840184,43525.0,31500.0,False,8,0.2,8,,0.15,4.0,3.0
2.5656518284018386,102565.65182840184,43525.0,31500.0,False,8,0.2,8,,0.15,4.0,0.0
2.5656518284018386,102565.65182840184,43525.0,31500.0,False,8,0.1,4,,0.15,4.0,3.0
2.5656518284018386,102565.65182840184,43525.0,31500.0,False,8,0.1,4,,0.15,4.0,0.0
2.5656518284018386,102565.65182840184,43525.0,31500.0,False,8,0.1,4,,0.15,4.0,2.0
2.5472604584099026,102547.2604584099,55000.0,15000.000000000002,False,5,0.15,4,,0.15,4.0,2.0
2.5472604584099026,102547.2604584099,55000.0,15000.000000000002,False,5,0.15,4,,0.15,4.0,3.0
2.5472604584099026,102547.2604584099,55000.0,15000.000000000002,False,5,0.15,4,,0.15,4.0,0.0
2.5291099138925057,102529.1099138925,43750.0,30937.5,False,12,0.15,8,,0.1,5.0,2.0
2.5291099138925057,102529.1099138925,43750.0,30937.5,False,12,0.15,8,,0.1,5.0,0.0
2.5291099138925057,102529.1099138925,43750.0,30937.5,False,12,0.15,8,,0.1,5.0,3.0
2.447932819022026,102447.93281902203,70000.0,15000.0,False,4,0.2,4,,0.15,3.0,0.0
2.447932819022026,102447.93281902203,70000.0,15000.0,False,4,0.2,4,,0.15,3.0,3.0
2.447932819022026,102447.93281902203,70000.0,15000.0,False,4,0.2,4,,0.15,3.0,2.0
2.443929205270004,102443.92920527,54891.0642578125,106215.703125,False,18,0.15,8,,0.15,2.0,3.0
2.443929205270004,102443.92920527,54891.0642578125,106215.703125,False,18,0.15,8,,0.15,2.0,2.0
2.443929205270004,102443.92920527,54891.0642578125,106215.703125,False,18,0.15,8,,0.15,2.0,0.0
2.319449505040466,102319.44950504047,38125.0,62500.0,False,19,0.15,12,,0.1,5.0,0.0
2.319449505040466,102319.44950504047,38125.0,62500.0,False,19,0.15,12,,0.1,5.0,2.0
2.319449505040466,102319.44950504047,38125.0,62500.0,False,19,0.15,12,,0.1,5.0,3.0
2.3182609275055293,102318.26092750553,54950.0,42250.0,False,13,0.15,8,,0.1,4.0,3.0
2.3182609275055293,102318.26092750553,54950.0,42250.0,False,13,0.15,8,,0.1,4.0,0.0
2.3182609275055293,102318.26092750553,54950.0,42250.0,False,13,0.15,8,,0.1,4.0,2.0
2.313748219211411,102313.74821921141,55399.99999999999,52666.666666666664,False,15,0.2,12,,0.1,4.0,0.0
2.313748219211411,102313.74821921141,55399.99999999999,52666.666666666664,False,15,0.2,12,,0.1,4.0,2.0
2.313748219211411,102313.74821921141,55399.99999999999,52666.666666666664,False,15,0.2,12,,0.1,4.0,3.0
2.1488760950986614,102148.87609509866,32418.75000000003,110798.61111111114,False,31,0.1,12,,0.1,5.0,0.0
2.1488760950986614,102148.87609509866,32418.75000000003,110798.61111111114,False,31,0.1,12,,0.1,5.0,2.0
2.1488760950986614,102148.87609509866,32418.75000000003,110798.61111111114,False,31,0.1,12,,0.1,5.0,3.0
