return_pct,final_value,cash,halted,trades,reset,order_pct,counter_m,ETH_sweep,BNB_sweep,SOL_sweep
18.147075502821536,35444.12265084646,16135.655553086215,False,185,48.0,0.05,4.0,0.06,0.08,0.1
18.147075502821536,35444.12265084646,16135.655553086215,False,185,,0.05,4.0,0.06,0.08,0.1
18.147075502821536,35444.12265084646,16135.655553086215,False,185,96.0,0.05,4.0,0.06,0.08,0.1
17.87034042916661,35361.10212874998,11015.208262808332,False,232,96.0,0.05,4.0,0.06,0.06,0.1
17.87034042916661,35361.10212874998,11015.208262808332,False,232,48.0,0.05,4.0,0.06,0.06,0.1
17.87034042916661,35361.10212874998,11015.208262808332,False,232,,0.05,4.0,0.06,0.06,0.1
17.47998649656763,35243.99594897029,15883.844766287533,False,235,,0.05,3.0,0.06,0.08,0.1
17.47998649656763,35243.99594897029,15883.844766287533,False,235,96.0,0.05,3.0,0.06,0.08,0.1
17.47998649656763,35243.99594897029,15883.844766287533,False,235,48.0,0.05,3.0,0.06,0.08,0.1
16.831168783140114,35049.350634942035,15914.643134451106,False,169,,0.05,4.0,0.1,0.08,0.1
16.831168783140114,35049.350634942035,15914.643134451106,False,169,48.0,0.05,4.0,0.1,0.08,0.1
16.831168783140114,35049.350634942035,15914.643134451106,False,169,96.0,0.05,4.0,0.1,0.08,0.1
16.798538320128305,35039.56149603849,15725.48772340694,False,217,48.0,0.05,3.0,0.1,0.08,0.1
16.798538320128305,35039.56149603849,15725.48772340694,False,217,96.0,0.05,3.0,0.1,0.08,0.1
16.798538320128305,35039.56149603849,15725.48772340694,False,217,,0.05,3.0,0.1,0.08,0.1
16.61178111078504,34983.53433323551,10613.237461630539,False,282,48.0,0.05,3.0,0.06,0.06,0.1
16.61178111078504,34983.53433323551,10613.237461630539,False,282,96.0,0.05,3.0,0.06,0.06,0.1
16.61178111078504,34983.53433323551,10613.237461630539,False,282,,0.05,3.0,0.06,0.06,0.1
16.550008491273378,34965.00254738201,10831.095134512132,False,216,48.0,0.05,4.0,0.1,0.06,0.1
16.550008491273378,34965.00254738201,10831.095134512132,False,216,96.0,0.05,4.0,0.1,0.06,0.1
16.550008491273378,34965.00254738201,10831.095134512132,False,216,,0.05,4.0,0.1,0.06,0.1
15.932379002519568,34779.71370075587,10472.614103488573,False,264,48.0,0.05,3.0,0.1,0.06,0.1
15.932379002519568,34779.71370075587,10472.614103488573,False,264,,0.05,3.0,0.1,0.06,0.1
15.932379002519568,34779.71370075587,10472.614103488573,False,264,96.0,0.05,3.0,0.1,0.06,0.1
15.386876340787275,34616.06290223618,278.0678571925173,False,122,,0.1,3.0,0.15,0.08,0.1
15.386876340787275,34616.06290223618,278.0678571925173,False,122,48.0,0.1,3.0,0.15,0.08,0.1
15.386876340787275,34616.06290223618,278.0678571925173,False,122,96.0,0.1,3.0,0.15,0.08,0.1
15.366940397682871,34610.08211930486,277.7598418213838,False,122,48.0,0.1,3.0,0.1,0.08,0.1
15.366940397682871,34610.08211930486,277.7598418213838,False,122,96.0,0.1,3.0,0.1,0.08,0.1
15.366940397682871,34610.08211930486,277.7598418213838,False,122,,0.1,3.0,0.1,0.08,0.1
15.332946762773474,34599.88402883204,10495.05489354946,False,270,,0.05,4.0,0.06,0.04,0.1
15.332946762773474,34599.88402883204,10495.05489354946,False,270,48.0,0.05,4.0,0.06,0.04,0.1
15.332946762773474,34599.88402883204,10495.05489354946,False,270,96.0,0.05,4.0,0.06,0.04,0.1
15.263476572582974,34579.04297177489,15575.179587420633,False,161,96.0,0.05,4.0,0.15,0.08,0.1
15.263476572582974,34579.04297177489,15575.179587420633,False,161,48.0,0.05,4.0,0.15,0.08,0.1
15.263476572582974,34579.04297177489,15575.179587420633,False,161,,0.05,4.0,0.15,0.08,0.1
15.099377189627509,34529.81315688825,16632.8411778586,False,304,48.0,0.05,2.0,0.06,0.08,0.1
15.099377189627509,34529.81315688825,16632.8411778586,False,304,,0.05,2.0,0.06,0.08,0.1
15.099377189627509,34529.81315688825,16632.8411778586,False,304,96.0,0.05,2.0,0.06,0.08,0.1
15.038605645322288,34511.58169359669,16877.996062327624,False,282,,0.05,2.0,0.1,0.08,0.1
15.038605645322288,34511.58169359669,16877.996062327624,False,282,48.0,0.05,2.0,0.1,0.08,0.1
15.038605645322288,34511.58169359669,16877.996062327624,False,282,96.0,0.05,2.0,0.1,0.08,0.1
14.97947673137176,34493.84301941153,10537.534215713715,False,208,96.0,0.05,4.0,0.15,0.06,0.1
14.97947673137176,34493.84301941153,10537.534215713715,False,208,48.0,0.05,4.0,0.15,0.06,0.1
14.97947673137176,34493.84301941153,10537.534215713715,False,208,,0.05,4.0,0.15,0.06,0.1
14.919900668972138,34475.97020069164,1986.5151297092789,False,159,96.0,0.1,2.0,0.1,0.08,0.1
14.919900668972138,34475.97020069164,1986.5151297092789,False,159,,0.1,2.0,0.1,0.08,0.1
14.919900668972138,34475.97020069164,1986.5151297092789,False,159,48.0,0.1,2.0,0.1,0.08,0.1
14.665584180712758,34399.67525421383,11549.559168170485,False,377,,0.05,2.0,0.06,0.06,0.1
14.665584180712758,34399.67525421383,11549.559168170485,False,377,96.0,0.05,2.0,0.06,0.06,0.1
14.665584180712758,34399.67525421383,11549.559168170485,False,377,48.0,0.05,2.0,0.06,0.06,0.1
14.604105814974366,34381.23174449231,11801.68575751664,False,355,48.0,0.05,2.0,0.1,0.06,0.1
